basin_id,elev_mean,slope_mean,area_gages2,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur,frac_forest,lai_max,lai_diff,gvf_max,gvf_diff,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,organic_frac,geol_permeability
1022500,-0.82809793,-0.548852202,-0.036536425,0.210033279,-1.193374447,-0.782961719,-0.253730191,0.245259009,-0.114383785,-0.672634541,-0.55859268,-0.809174849,0.9232,1.034748672,0.879657484,0.863935769,0.337712462,0.380544757,0.781679229,0.415905486,0.611688705,0.626228878,1.547178961,-0.552762381,-0.980320882,-0.15547458,-0.228831091
1031500,-0.601816388,-0.284923789,0.375239916,0.144120779,-1.283453088,-0.781755264,0.190013945,0.291836473,-0.508902356,-0.980743955,-0.744322767,-0.888280507,0.9548,1.056590602,1.065950305,0.870668492,0.398619402,-0.234947809,-0.072673818,0.45023595,-0.150168052,0.55912272,-0.006697425,1.189231017,-0.914503178,-0.15547458,-0.777631132
1047000,-0.510527716,0.171659138,0.67029889,-0.010513405,-1.248310015,-0.698512449,0.278683567,0.280118127,-0.221979759,-0.891709844,-0.492260506,-0.796808636,0.9906,1.182398644,1.302589652,0.891382765,0.445473208,-0.349616943,0.383940951,0.422748959,0.794335068,0.561180826,1.274875305,-0.085544786,-1.165451867,-0.15547458,-0.463418609
1052500,-0.065141689,0.398833299,-0.436367143,0.305016099,-1.236283763,-0.834643334,0.287454497,0.352698254,-1.800054045,-1.085898353,-1.742253473,-1.130292395,1,0.986384413,1.167790112,0.880034058,0.47732793,-0.595462935,0.793570864,0.452325651,-0.234054309,0.615537987,-0.310202232,1.324961946,-1.075801875,-0.15547458,-1.061831154
1054200,-0.274312075,1.073535362,-0.863712822,0.565259024,-1.176274573,-0.913070537,0.19177787,0.29964154,-0.843645387,-0.731362806,-0.952163579,-0.976345602,1,1.136487465,1.289292443,0.886711471,0.455084305,-0.618882286,0.723852175,0.418460873,1.025534399,0.594525958,1.481858195,-0.26532684,-1.213747597,-0.15547458,-0.229618591
1055000,-0.346068065,0.684997427,-0.716952321,0.121852956,-1.242274829,-0.759181945,0.318169144,0.306048852,-0.449126815,-0.878227022,-0.818025183,-0.928122981,0.9916,1.143482562,1.316512856,0.886163454,0.471431452,-0.545442707,0.291109897,0.424025868,0.744782698,0.547020627,1.191057353,-0.043522517,-1.160892906,-0.15547458,-0.354831101
1057000,-0.648802776,-0.214867317,-0.842771114,0.180914226,-1.168026892,-0.762714823,0.139364092,0.251157673,-0.162204218,-0.868070331,-0.392025221,-0.773258902,0.9415,1.37166647,1.520888855,0.905510481,0.458742009,-0.446573324,0.814418259,0.404117933,1.870699514,0.617100213,2.166676565,-0.945979713,-1.430872808,-0.15547458,-0.033268577
1078000,-0.457224933,0.168308913,-0.776322274,0.175023885,-1.071429852,-0.730816984,0.202987082,0.239718522,0.100808163,-0.853901856,-0.533533859,-0.828549938,0.9873,1.391364095,1.458490295,0.898650643,0.424911376,-0.453804056,0.814418259,0.40389262,1.866903159,0.618975203,2.176382579,-0.956466323,-1.427593626,-0.15547458,-0.134593584
1134500,-0.306069097,0.118340783,-0.833901437,0.101135056,-1.245163688,-0.750687175,0.442883655,0.280582089,-1.238163958,-0.960012249,-1.51819813,-1.153071565,0.9963,1.075296146,1.281704516,0.886216249,0.476794083,-0.42749548,-0.615427857,0.439227361,0.140866456,0.476766758,0.464659337,0.61476189,-0.907021044,-0.15547458,-0.146581085
1137500,0.181606138,1.521826595,-0.763491791,0.50107125,-1.146786764,-0.882941181,0.32713793,0.301814976,-1.321849716,-0.258596033,-1.42238499,-1.091259232,0.9972,0.80861481,0.812153818,0.865791461,0.393542621,-0.579727799,-0.397726008,0.419818682,0.917951843,0.475731839,1.187100199,-0.380914382,-1.333662905,-0.15547458,-0.129256084
