basin_id	lon_cen	lat_cen
6224000	-109.42326	43.08602
11230500	-118.86777	37.340340000000005
8377900	-105.56471	35.8574
6280300	-109.66937	44.02544
6632400	-106.23563	41.471270000000004
9081600	-107.18846	39.10714
6623800	-106.75427	40.969840000000005
8378500	-105.62717	35.849740000000004
6622700	-106.45331	41.39968
8269000	-105.41104	36.46765
13011900	-110.10773	43.87215
7208500	-105.12278	36.39679
11264500	-119.42502	37.708890000000004
8380500	-105.43926	35.72501
11266500	-119.48658	37.73825
6289000	-107.70408	44.883070000000004
10234500	-112.43792	38.284420000000004
9492400	-109.70757	33.86829
8324000	-106.67371	35.892070000000004
9223000	-110.72223	42.234429999999996
13023000	-110.73945	42.905409999999996
9210500	-110.54558	42.18357
9312600	-111.04445	39.94972
13011500	-110.35561	43.988
9386900	-108.47239	35.321259999999995
13313000	-115.50648	44.74458
9494000	-109.83754	33.92041
9430600	-108.59094	33.2252
13235000	-115.30613	44.14179
9404450	-112.586	37.41291
13161500	-115.55631	41.7042
13240000	-115.92988	44.95118
6409000	-103.8816	44.0179
6431500	-103.92124	44.30712
9505800	-111.42759	34.59887
9505350	-111.61534	34.82415
9497980	-110.88509	34.032309999999995
13331500	-117.57786	45.321220000000004
11523200	-122.64033	41.22828
12175500	-121.03261	48.57632
12451000	-120.85942	48.39009
6404000	-103.44596	43.8806
12488500	-121.37304	46.91894
12390700	-115.51775	47.546620000000004
6406000	-103.38353	43.84779
12092000	-121.90561	46.86965
11522500	-123.19039	41.29337
12048000	-123.1907	47.890679999999996
3460000	-83.12672	35.61913
12186000	-121.33279	48.0522
14020000	-118.18835	45.69477
12189500	-121.30544	48.198370000000004
3456500	-82.82776	35.4052
12411000	-116.20144	47.88082
3186500	-80.2816	38.32717
3180500	-79.7417	38.606390000000005
14137000	-121.87651	45.308009999999996
11480390	-123.24386	40.19288
6447500	-101.97741	43.11077
9512280	-111.8852	33.95865
3479000	-81.76806	36.21826
3504000	-83.55945	35.073890000000006
11473900	-123.0736	39.78906
12082500	-121.90131	46.74625
9510200	-111.47289	33.81381
3463300	-82.22239	35.776720000000005
3471500	-81.48407	36.75424
11528700	-123.23007	40.47025
14185000	-122.31802	44.37924
3500240	-83.48454	35.14094
3069500	-79.61928	38.907140000000005
14316700	-122.64677	43.4529
11381500	-121.67376	40.23865
9513780	-111.98727	34.01047
3182500	-79.87662	38.39219
14154500	-122.71525	43.662040000000005
3473000	-81.67994	36.657140000000005
12115000	-121.53458	47.328359999999996
6847900	-100.5942	39.60205
3439000	-82.89101	35.201809999999995
1605500	-79.45611	38.52689
6352000	-102.95035	46.28588
1606500	-79.41803	38.69911
6350000	-102.93482	46.50567
14185900	-122.31096	44.58919
3488000	-81.52858	36.97149
3500000	-83.38489	35.02575
2178400	-83.53256	34.95456
6344600	-103.18072	47.08057
3076600	-79.32267	39.63308
7301410	-100.36455	35.516729999999995
1137500	-71.47415	44.253890000000006
2011400	-79.7187	38.20913
12054000	-123.18342	47.66744
12056500	-123.37884	47.555240000000005
3078000	-79.19674	39.64484
11143000	-121.68131	36.24347
6339100	-103.00956	47.27559
11478500	-123.63329	40.42245
12041200	-123.90702	47.81638
2015700	-79.5311	38.320879999999995
3173000	-80.94939	37.15808
11451100	-122.72945	39.19985
11532500	-123.86791	41.82748
1413500	-74.55636	42.20133
14182500	-122.34103	44.82652
3170000	-80.36053	36.96028
14309500	-123.74216	42.83017
2053800	-80.25445	37.10785
2177000	-83.20273	34.95726
11176400	-121.5492	37.4268
2017500	-80.31146	37.46102
2013000	-80.18125	37.75112
2014000	-80.21602	37.59871
6332515	-102.83901	47.74909
3498500	-83.7414	35.68465
11124500	-119.78728	34.65655
7142300	-99.2974	37.68284
8165300	-99.5509	30.051470000000002
1596500	-79.05898	39.63149
4221000	-77.83314	42.04271
14325000	-124.02763	42.79249
2018000	-80.1843	37.48406
2016000	-79.60087	38.12175
3010655	-78.05065	41.917
3011800	-78.6213	41.773140000000005
14400000	-124.00527	42.23303
1052500	-71.17197	44.96168
1350000	-74.26812	42.25692
2137727	-82.17798	35.63735
12147500	-121.67296	47.74545
3070500	-79.61803	39.70254
1423000	-74.87784	42.288709999999995
8190500	-100.34543	29.78435
8195000	-99.72608	29.77502
3028000	-78.70014	41.6411
8190000	-100.02904	29.79795
8150800	-99.1282	30.46542
1435000	-74.50569	41.964240000000004
6853800	-98.46654	39.911
12025700	-122.53443	46.7305
1544500	-77.72149	41.58549
2111180	-81.51122	36.15054
1543500	-78.35836	41.40397
11482500	-123.89077	41.06113
1548500	-77.50991	41.71098
1632000	-78.96078	38.70073
1543000	-78.29729	41.54218
3280700	-83.24657	37.08573
8196000	-99.85071	29.613159999999997
11151300	-120.8604	36.261309999999995
4216418	-78.29011	42.75192
4224775	-77.81241	42.48247
1545600	-77.64025	41.464259999999996
5120500	-100.52493	47.91088
8086212	-99.29992	32.52923
1532000	-76.6915	41.66388
4040500	-88.40539	46.570209999999996
7299670	-99.96767	34.36296
3015500	-79.50262	41.92132
14236200	-122.28922	46.605
5393500	-90.10102	45.44003
4256000	-75.13987	43.800779999999996
1333000	-73.23597	42.63857
14222500	-122.28502	45.80792
3021350	-79.65858	42.084959999999995
4074950	-88.9448	45.440129999999996
1510000	-75.80821	42.687909999999995
12167000	-121.79333	48.30477
4057800	-87.90923	46.53925
8086290	-99.05131	32.47544
4063700	-88.66187	45.75714
1054200	-71.05872	44.31072
6477500	-98.52748	43.83596
1365000	-74.42639	41.9147
8200000	-99.29425	29.6567
11148900	-121.27133	35.90448
1552000	-76.60305	41.4651
2112120	-81.09049	36.34773
1144000	-72.66126	43.885709999999996
1550000	-76.9518	41.53137
2111500	-81.27746	36.276270000000004
8082700	-99.58218	33.279990000000005
1134500	-71.80225	44.571529999999996
7335700	-94.5461	34.64761
6876700	-98.0959	39.218379999999996
5057200	-98.4633	47.38532
7180500	-96.77742	38.13105
8198500	-99.5361	29.635859999999997
12040500	-124.00019	47.642790000000005
12020000	-123.30769	46.50506
5362000	-90.42755	45.46055
5291000	-96.82433	45.3101
7196900	-94.42183	35.88244
4027000	-90.65961	46.34832
6470800	-98.14881	46.53032
1055000	-70.62632	44.75157
2056900	-80.00858	37.06031
1181000	-73.03143	42.30441
1632900	-78.72713	38.5445
6601000	-96.54116	42.216609999999996
2152100	-81.75365	35.54407
6888500	-96.31369	38.95412
5399500	-90.21284	44.93566
2112360	-80.89124	36.40685
2149000	-82.1143	35.51801
6814000	-96.2556	40.088429999999995
2143000	-81.57067	35.665459999999996
8202700	-99.3681	29.54658
6885500	-96.31728	39.77304
6878000	-97.27578	39.193490000000004
7145700	-97.5656	37.37125
4296000	-72.33451	44.73579
1557500	-78.21291	40.74115
8101000	-98.15253	31.506829999999997
2027000	-79.02662	37.82809
7167500	-96.37992	37.67957
8171300	-98.31502	30.04894
2028500	-78.86402	37.9313
6803530	-96.6707	41.06547
6910800	-96.08729	38.699009999999994
3281500	-83.67779	37.18492
14301000	-123.39198	45.86674
1169000	-72.77633	42.73597
6921070	-93.18724	37.46792
1139000	-72.21213	44.21836
6803510	-96.7152	40.95361
2069700	-80.24892	36.62832
6918460	-93.73992	37.2418
8158700	-98.12048	30.1453
6911900	-95.97568	38.78887
3049000	-79.69503	40.85365
4127997	-84.66674	45.17807
5458000	-92.67934	43.346990000000005
1547700	-77.74363	41.04534
2027500	-79.10871	37.76551
7197000	-94.59373	35.92054
5408000	-90.57475	43.7423
6889200	-95.91898	39.40967
1078000	-71.89296	43.561859999999996
1634500	-78.44939	39.06919
4024430	-92.35951	46.49096
7066000	-91.65536	37.0933
7340300	-94.17029	34.42473
6921200	-93.18296	37.688390000000005
4015330	-91.81157	47.04074
3574500	-86.20704	34.87494
2118500	-80.90133	36.083940000000005
6889500	-95.86072	39.32148
1440400	-75.24309	41.18775
1539000	-76.3416	41.236940000000004
1170100	-72.70524	42.79432
7057500	-92.10894	36.85725
3285000	-84.59942	37.50358
4213000	-80.42422	41.82698
6903400	-93.44752	40.91745
3241500	-83.73149	39.75141
2059500	-79.65126	37.30298
8104900	-97.97121	30.66586
4059500	-87.60948	46.00745
1047000	-70.16213	44.98744
7315200	-98.12063	33.6511
5487980	-93.48353	41.07717
12013500	-123.55386	46.56312
2070000	-80.07252	36.660059999999994
14306500	-123.67576	44.349740000000004
1439500	-75.0974	41.20994
6892000	-95.18342	39.349790000000006
6919500	-93.99149	37.64113
4197100	-82.89848	41.00882
6917000	-94.97615	38.01957
3144000	-82.20653	40.228120000000004
5414000	-90.57086	42.86922
7315700	-97.72738	34.24329
3238500	-83.8235	39.04821
11481200	-123.99714	41.022659999999995
5489000	-93.01767	41.059129999999996
7184000	-94.91913	37.4319
5413500	-90.83821	42.86026
4105700	-85.34681	42.42235
4196800	-83.38813	40.72635
14305500	-123.71999	44.81731
11468500	-123.56776	39.43312
3364500	-85.49655	39.40363
7060710	-92.28132	36.04117
3237500	-83.51467	38.98767
4122500	-85.90229	43.83757
3604000	-87.56998	35.4039
3340800	-86.76077	39.9127
